Timing System A Log

Numeber of Sites	Time (ms)
1,216
2,279
3,347
4,387
5,471
6,503
7,555
8,720
9,663
10,847
11,760
12,952
13,1015
14,915
15,966
16,1011
17,1237
18,1303
19,1358
20,1211
21,1462
22,1309
23,1579
24,1406
25,1681
26,1683
27,1532
28,1592
29,1658
30,1672
31,1697
32,1799
33,1819
34,1815
35,1847
36,1918
37,2058
38,2067
39,2112
40,2191
41,2133
